id,visitors,year,month,day,dow,holiday_flg,min_visitors,mean_visitors,median_visitors,max_visitors,count_observations,air_genre_name,air_area_name,latitude,longitude
air_00a91d42b08b08d9_2017-05-16,20,2017,5,16,1,0,1.0,24.35,24.5,43.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-17,20,2017,5,17,2,0,15.0,28.125,28.0,52.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-18,20,2017,5,18,3,0,15.0,29.86842105,30.0,47.0,38.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-19,20,2017,5,19,4,0,17.0,36.5,35.5,57.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-20,20,2017,5,20,5,0,3.0,14.97368421,11.0,99.0,38.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-21,20,2017,5,21,6,0,2.0,2.0,2.0,2.0,1.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-22,20,2017,5,22,0,0,1.0,22.45714286,19.0,47.0,35.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-23,20,2017,5,23,1,0,1.0,24.35,24.5,43.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-24,20,2017,5,24,2,0,15.0,28.125,28.0,52.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-25,20,2017,5,25,3,0,15.0,29.86842105,30.0,47.0,38.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-26,20,2017,5,26,4,0,17.0,36.5,35.5,57.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-27,20,2017,5,27,5,0,3.0,14.97368421,11.0,99.0,38.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-28,20,2017,5,28,6,0,2.0,2.0,2.0,2.0,1.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-29,20,2017,5,29,0,0,1.0,22.45714286,19.0,47.0,35.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-30,20,2017,5,30,1,0,1.0,24.35,24.5,43.0,40.0,6,44,35.6940027,139.75359509999998
air_00a91d42b08b08d9_2017-05-31,20,2017,5,31,2,0,15.0,28.125,28.0,52.0,40.0,6,44,35.6940027,139.75359509999998
air_0164b9927d20bcc3_2017-04-23,20,2017,4,23,6,0,,,,,,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-04-24,20,2017,4,24,0,0,2.0,7.5,6.0,19.0,20.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-04-25,20,2017,4,25,1,0,1.0,9.56,8.0,24.0,25.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-04-26,20,2017,4,26,2,0,2.0,9.678571429,8.0,27.0,28.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-04-27,20,2017,4,27,3,0,1.0,9.846153846,10.5,23.0,26.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-04-28,20,2017,4,28,4,0,3.0,11.46428571,10.5,26.0,28.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-04-29,20,2017,4,29,5,1,1.0,6.409090909,4.5,25.0,22.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-04-30,20,2017,4,30,6,0,,,,,,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-01,20,2017,5,1,0,0,2.0,7.5,6.0,19.0,20.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-02,20,2017,5,2,1,0,1.0,9.56,8.0,24.0,25.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-03,20,2017,5,3,2,1,2.0,9.678571429,8.0,27.0,28.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-04,20,2017,5,4,3,1,1.0,9.846153846,10.5,23.0,26.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-05,20,2017,5,5,4,1,3.0,11.46428571,10.5,26.0,28.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-06,20,2017,5,6,5,0,1.0,6.409090909,4.5,25.0,22.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-07,20,2017,5,7,6,0,,,,,,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-08,20,2017,5,8,0,0,2.0,7.5,6.0,19.0,20.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-09,20,2017,5,9,1,0,1.0,9.56,8.0,24.0,25.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-10,20,2017,5,10,2,0,2.0,9.678571429,8.0,27.0,28.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-11,20,2017,5,11,3,0,1.0,9.846153846,10.5,23.0,26.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-12,20,2017,5,12,4,0,3.0,11.46428571,10.5,26.0,28.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-13,20,2017,5,13,5,0,1.0,6.409090909,4.5,25.0,22.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-14,20,2017,5,14,6,0,,,,,,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-15,20,2017,5,15,0,0,2.0,7.5,6.0,19.0,20.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-16,20,2017,5,16,1,0,1.0,9.56,8.0,24.0,25.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-17,20,2017,5,17,2,0,2.0,9.678571429,8.0,27.0,28.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-18,20,2017,5,18,3,0,1.0,9.846153846,10.5,23.0,26.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-19,20,2017,5,19,4,0,3.0,11.46428571,10.5,26.0,28.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-20,20,2017,5,20,5,0,1.0,6.409090909,4.5,25.0,22.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-21,20,2017,5,21,6,0,,,,,,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-22,20,2017,5,22,0,0,2.0,7.5,6.0,19.0,20.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-23,20,2017,5,23,1,0,1.0,9.56,8.0,24.0,25.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-24,20,2017,5,24,2,0,2.0,9.678571429,8.0,27.0,28.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-25,20,2017,5,25,3,0,1.0,9.846153846,10.5,23.0,26.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-26,20,2017,5,26,4,0,3.0,11.46428571,10.5,26.0,28.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-27,20,2017,5,27,5,0,1.0,6.409090909,4.5,25.0,22.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-28,20,2017,5,28,6,0,,,,,,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-29,20,2017,5,29,0,0,2.0,7.5,6.0,19.0,20.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-30,20,2017,5,30,1,0,1.0,9.56,8.0,24.0,25.0,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-31,20,2017,5,31,2,0,2.0,9.678571429,8.0,27.0,28.0,6,62,35.6580681,139.7515992
air_0241aa3964b7f861_2017-04-23,20,2017,4,23,6,0,1.0,10.78125,10.0,26.0,64.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-04-24,20,2017,4,24,0,0,2.0,8.920634921,8.0,23.0,63.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-04-25,20,2017,4,25,1,0,1.0,8.621212121000001,8.0,34.0,66.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-04-26,20,2017,4,26,2,0,2.0,9.852941176,9.0,24.0,68.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-04-27,20,2017,4,27,3,0,1.0,5.555555556,3.0,18.0,9.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-04-28,20,2017,4,28,4,0,1.0,7.7868852460000015,6.0,48.0,61.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-04-29,20,2017,4,29,5,1,2.0,13.89230769,13.0,37.0,65.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-04-30,20,2017,4,30,6,0,1.0,10.78125,10.0,26.0,64.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-01,20,2017,5,1,0,0,2.0,8.920634921,8.0,23.0,63.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-02,20,2017,5,2,1,0,1.0,8.621212121000001,8.0,34.0,66.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-03,20,2017,5,3,2,1,2.0,9.852941176,9.0,24.0,68.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-04,20,2017,5,4,3,1,1.0,5.555555556,3.0,18.0,9.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-05,20,2017,5,5,4,1,1.0,7.7868852460000015,6.0,48.0,61.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-06,20,2017,5,6,5,0,2.0,13.89230769,13.0,37.0,65.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-07,20,2017,5,7,6,0,1.0,10.78125,10.0,26.0,64.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-08,20,2017,5,8,0,0,2.0,8.920634921,8.0,23.0,63.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-09,20,2017,5,9,1,0,1.0,8.621212121000001,8.0,34.0,66.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-10,20,2017,5,10,2,0,2.0,9.852941176,9.0,24.0,68.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-11,20,2017,5,11,3,0,1.0,5.555555556,3.0,18.0,9.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-12,20,2017,5,12,4,0,1.0,7.7868852460000015,6.0,48.0,61.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-13,20,2017,5,13,5,0,2.0,13.89230769,13.0,37.0,65.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-14,20,2017,5,14,6,0,1.0,10.78125,10.0,26.0,64.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-15,20,2017,5,15,0,0,2.0,8.920634921,8.0,23.0,63.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-16,20,2017,5,16,1,0,1.0,8.621212121000001,8.0,34.0,66.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-17,20,2017,5,17,2,0,2.0,9.852941176,9.0,24.0,68.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-18,20,2017,5,18,3,0,1.0,5.555555556,3.0,18.0,9.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-19,20,2017,5,19,4,0,1.0,7.7868852460000015,6.0,48.0,61.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-20,20,2017,5,20,5,0,2.0,13.89230769,13.0,37.0,65.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-21,20,2017,5,21,6,0,1.0,10.78125,10.0,26.0,64.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-22,20,2017,5,22,0,0,2.0,8.920634921,8.0,23.0,63.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-23,20,2017,5,23,1,0,1.0,8.621212121000001,8.0,34.0,66.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-24,20,2017,5,24,2,0,2.0,9.852941176,9.0,24.0,68.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-25,20,2017,5,25,3,0,1.0,5.555555556,3.0,18.0,9.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-26,20,2017,5,26,4,0,1.0,7.7868852460000015,6.0,48.0,61.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-27,20,2017,5,27,5,0,2.0,13.89230769,13.0,37.0,65.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-28,20,2017,5,28,6,0,1.0,10.78125,10.0,26.0,64.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-29,20,2017,5,29,0,0,2.0,8.920634921,8.0,23.0,63.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-30,20,2017,5,30,1,0,1.0,8.621212121000001,8.0,34.0,66.0,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-31,20,2017,5,31,2,0,2.0,9.852941176,9.0,24.0,68.0,7,82,35.712607,139.7799956
air_0328696196e46f18_2017-04-23,20,2017,4,23,6,0,1.0,10.52941176,7.0,41.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-04-24,20,2017,4,24,0,0,2.0,6.416666667,4.0,27.0,12.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-04-25,20,2017,4,25,1,0,2.0,7.285714286,6.0,17.0,14.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-04-26,20,2017,4,26,2,0,1.0,7.058823529,5.0,24.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-04-27,20,2017,4,27,3,0,1.0,9.294117647,7.0,26.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-04-28,20,2017,4,28,4,0,1.0,6.727272727000001,5.5,19.0,22.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-04-29,20,2017,4,29,5,1,2.0,8.058823529,7.0,22.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-04-30,20,2017,4,30,6,0,1.0,10.52941176,7.0,41.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-01,20,2017,5,1,0,0,2.0,6.416666667,4.0,27.0,12.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-02,20,2017,5,2,1,0,2.0,7.285714286,6.0,17.0,14.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-03,20,2017,5,3,2,1,1.0,7.058823529,5.0,24.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-04,20,2017,5,4,3,1,1.0,9.294117647,7.0,26.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-05,20,2017,5,5,4,1,1.0,6.727272727000001,5.5,19.0,22.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-06,20,2017,5,6,5,0,2.0,8.058823529,7.0,22.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-07,20,2017,5,7,6,0,1.0,10.52941176,7.0,41.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-08,20,2017,5,8,0,0,2.0,6.416666667,4.0,27.0,12.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-09,20,2017,5,9,1,0,2.0,7.285714286,6.0,17.0,14.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-10,20,2017,5,10,2,0,1.0,7.058823529,5.0,24.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-11,20,2017,5,11,3,0,1.0,9.294117647,7.0,26.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-12,20,2017,5,12,4,0,1.0,6.727272727000001,5.5,19.0,22.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-13,20,2017,5,13,5,0,2.0,8.058823529,7.0,22.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-14,20,2017,5,14,6,0,1.0,10.52941176,7.0,41.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-15,20,2017,5,15,0,0,2.0,6.416666667,4.0,27.0,12.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-16,20,2017,5,16,1,0,2.0,7.285714286,6.0,17.0,14.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-17,20,2017,5,17,2,0,1.0,7.058823529,5.0,24.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-18,20,2017,5,18,3,0,1.0,9.294117647,7.0,26.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-19,20,2017,5,19,4,0,1.0,6.727272727000001,5.5,19.0,22.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-20,20,2017,5,20,5,0,2.0,8.058823529,7.0,22.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-21,20,2017,5,21,6,0,1.0,10.52941176,7.0,41.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-22,20,2017,5,22,0,0,2.0,6.416666667,4.0,27.0,12.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-23,20,2017,5,23,1,0,2.0,7.285714286,6.0,17.0,14.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-24,20,2017,5,24,2,0,1.0,7.058823529,5.0,24.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-25,20,2017,5,25,3,0,1.0,9.294117647,7.0,26.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-26,20,2017,5,26,4,0,1.0,6.727272727000001,5.5,19.0,22.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-27,20,2017,5,27,5,0,2.0,8.058823529,7.0,22.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-28,20,2017,5,28,6,0,1.0,10.52941176,7.0,41.0,17.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-29,20,2017,5,29,0,0,2.0,6.416666667,4.0,27.0,12.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-30,20,2017,5,30,1,0,2.0,7.285714286,6.0,17.0,14.0,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-31,20,2017,5,31,2,0,1.0,7.058823529,5.0,24.0,17.0,4,98,34.7012792,135.5280905
air_034a3d5b40d5b1b1_2017-04-23,20,2017,4,23,6,0,1.0,17.15789474,11.5,64.0,38.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-04-24,20,2017,4,24,0,0,1.0,11.86486486,10.0,66.0,37.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-04-25,20,2017,4,25,1,0,1.0,10.88888889,12.0,28.0,18.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-04-26,20,2017,4,26,2,0,1.0,15.10526316,10.0,116.0,38.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-04-27,20,2017,4,27,3,0,1.0,10.97435897,8.0,30.0,39.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-04-28,20,2017,4,28,4,0,2.0,16.19512195,18.0,39.0,41.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-04-29,20,2017,4,29,5,1,1.0,19.225,16.5,58.0,40.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-04-30,20,2017,4,30,6,0,1.0,17.15789474,11.5,64.0,38.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-01,20,2017,5,1,0,0,1.0,11.86486486,10.0,66.0,37.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-02,20,2017,5,2,1,0,1.0,10.88888889,12.0,28.0,18.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-03,20,2017,5,3,2,1,1.0,15.10526316,10.0,116.0,38.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-04,20,2017,5,4,3,1,1.0,10.97435897,8.0,30.0,39.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-05,20,2017,5,5,4,1,2.0,16.19512195,18.0,39.0,41.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-06,20,2017,5,6,5,0,1.0,19.225,16.5,58.0,40.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-07,20,2017,5,7,6,0,1.0,17.15789474,11.5,64.0,38.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-08,20,2017,5,8,0,0,1.0,11.86486486,10.0,66.0,37.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-09,20,2017,5,9,1,0,1.0,10.88888889,12.0,28.0,18.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-10,20,2017,5,10,2,0,1.0,15.10526316,10.0,116.0,38.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-11,20,2017,5,11,3,0,1.0,10.97435897,8.0,30.0,39.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-12,20,2017,5,12,4,0,2.0,16.19512195,18.0,39.0,41.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-13,20,2017,5,13,5,0,1.0,19.225,16.5,58.0,40.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-14,20,2017,5,14,6,0,1.0,17.15789474,11.5,64.0,38.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-15,20,2017,5,15,0,0,1.0,11.86486486,10.0,66.0,37.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-16,20,2017,5,16,1,0,1.0,10.88888889,12.0,28.0,18.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-17,20,2017,5,17,2,0,1.0,15.10526316,10.0,116.0,38.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-18,20,2017,5,18,3,0,1.0,10.97435897,8.0,30.0,39.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-19,20,2017,5,19,4,0,2.0,16.19512195,18.0,39.0,41.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-20,20,2017,5,20,5,0,1.0,19.225,16.5,58.0,40.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-21,20,2017,5,21,6,0,1.0,17.15789474,11.5,64.0,38.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-22,20,2017,5,22,0,0,1.0,11.86486486,10.0,66.0,37.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-23,20,2017,5,23,1,0,1.0,10.88888889,12.0,28.0,18.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-24,20,2017,5,24,2,0,1.0,15.10526316,10.0,116.0,38.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-25,20,2017,5,25,3,0,1.0,10.97435897,8.0,30.0,39.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-26,20,2017,5,26,4,0,2.0,16.19512195,18.0,39.0,41.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-27,20,2017,5,27,5,0,1.0,19.225,16.5,58.0,40.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-28,20,2017,5,28,6,0,1.0,17.15789474,11.5,64.0,38.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-29,20,2017,5,29,0,0,1.0,11.86486486,10.0,66.0,37.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-30,20,2017,5,30,1,0,1.0,10.88888889,12.0,28.0,18.0,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-31,20,2017,5,31,2,0,1.0,15.10526316,10.0,116.0,38.0,2,102,34.6923371,135.4722289
