store_id_date,store_id,year,month,day,season,day_of_week,working_day,holiday_flg,genre_name,loc,reserve_visitors,visitors
air_0164b9927d20bcc3_2016-12-06,air_0164b9927d20bcc3,0,12,6,0,2,0,0,6,5,2,3.0
air_0164b9927d20bcc3_2016-12-07,air_0164b9927d20bcc3,0,12,7,0,3,0,0,6,5,2,6.0
air_0164b9927d20bcc3_2016-12-08,air_0164b9927d20bcc3,0,12,8,0,4,0,0,6,5,9,12.0
air_0164b9927d20bcc3_2016-12-14,air_0164b9927d20bcc3,0,12,14,0,3,0,0,6,5,2,7.0
air_0164b9927d20bcc3_2016-12-15,air_0164b9927d20bcc3,0,12,15,0,4,0,0,6,5,15,23.0
air_0164b9927d20bcc3_2016-12-16,air_0164b9927d20bcc3,0,12,16,0,5,0,0,6,5,6,12.0
air_0164b9927d20bcc3_2016-12-19,air_0164b9927d20bcc3,0,12,19,0,1,0,0,6,5,2,2.0
air_0164b9927d20bcc3_2016-12-21,air_0164b9927d20bcc3,0,12,21,0,3,0,0,6,5,2,7.0
air_0164b9927d20bcc3_2016-12-22,air_0164b9927d20bcc3,0,12,22,0,4,0,0,6,5,7,18.0
air_0164b9927d20bcc3_2016-12-23,air_0164b9927d20bcc3,0,12,23,0,5,0,1,6,5,2,10.0
air_0164b9927d20bcc3_2016-12-26,air_0164b9927d20bcc3,0,12,26,0,1,0,0,6,5,2,3.0
air_0164b9927d20bcc3_2016-12-27,air_0164b9927d20bcc3,0,12,27,0,2,0,0,6,5,3,7.0
air_0164b9927d20bcc3_2017-01-06,air_0164b9927d20bcc3,1,1,6,0,5,0,0,6,5,3,5.0
air_0164b9927d20bcc3_2017-01-12,air_0164b9927d20bcc3,1,1,12,0,4,0,0,6,5,10,12.0
air_0164b9927d20bcc3_2017-01-13,air_0164b9927d20bcc3,1,1,13,0,5,0,0,6,5,2,10.0
air_0164b9927d20bcc3_2017-01-14,air_0164b9927d20bcc3,1,1,14,0,6,1,0,6,5,9,25.0
air_0164b9927d20bcc3_2017-01-16,air_0164b9927d20bcc3,1,1,16,0,1,0,0,6,5,6,9.0
air_0164b9927d20bcc3_2017-01-17,air_0164b9927d20bcc3,1,1,17,0,2,0,0,6,5,6,8.0
air_0164b9927d20bcc3_2017-01-19,air_0164b9927d20bcc3,1,1,19,0,4,0,0,6,5,2,2.0
air_0164b9927d20bcc3_2017-01-20,air_0164b9927d20bcc3,1,1,20,0,5,0,0,6,5,2,4.0
air_0164b9927d20bcc3_2017-01-23,air_0164b9927d20bcc3,1,1,23,0,1,0,0,6,5,11,19.0
air_0164b9927d20bcc3_2017-01-24,air_0164b9927d20bcc3,1,1,24,0,2,0,0,6,5,5,6.0
air_0164b9927d20bcc3_2017-01-25,air_0164b9927d20bcc3,1,1,25,0,3,0,0,6,5,2,10.0
air_0164b9927d20bcc3_2017-01-26,air_0164b9927d20bcc3,1,1,26,0,4,0,0,6,5,16,17.0
air_0164b9927d20bcc3_2017-01-27,air_0164b9927d20bcc3,1,1,27,0,5,0,0,6,5,1,13.0
air_0164b9927d20bcc3_2017-01-31,air_0164b9927d20bcc3,1,1,31,0,2,0,0,6,5,13,18.0
air_0164b9927d20bcc3_2017-02-01,air_0164b9927d20bcc3,1,2,1,0,3,0,0,6,5,8,12.0
air_0164b9927d20bcc3_2017-02-06,air_0164b9927d20bcc3,1,2,6,0,1,0,0,6,5,4,5.0
air_0164b9927d20bcc3_2017-02-07,air_0164b9927d20bcc3,1,2,7,0,2,0,0,6,5,10,16.0
air_0164b9927d20bcc3_2017-02-08,air_0164b9927d20bcc3,1,2,8,0,3,0,0,6,5,5,8.0
air_0164b9927d20bcc3_2017-02-09,air_0164b9927d20bcc3,1,2,9,0,4,0,0,6,5,13,16.0
air_0164b9927d20bcc3_2017-02-10,air_0164b9927d20bcc3,1,2,10,0,5,0,0,6,5,5,14.0
air_0164b9927d20bcc3_2017-02-15,air_0164b9927d20bcc3,1,2,15,0,3,0,0,6,5,2,2.0
air_0164b9927d20bcc3_2017-02-18,air_0164b9927d20bcc3,1,2,18,0,6,1,0,6,5,9,11.0
air_0164b9927d20bcc3_2017-02-20,air_0164b9927d20bcc3,1,2,20,0,1,0,0,6,5,1,2.0
air_0164b9927d20bcc3_2017-02-21,air_0164b9927d20bcc3,1,2,21,0,2,0,0,6,5,6,10.0
air_0164b9927d20bcc3_2017-02-24,air_0164b9927d20bcc3,1,2,24,0,5,0,0,6,5,4,11.0
air_0164b9927d20bcc3_2017-02-27,air_0164b9927d20bcc3,1,2,27,0,1,0,0,6,5,2,4.0
air_0164b9927d20bcc3_2017-02-28,air_0164b9927d20bcc3,1,2,28,0,2,0,0,6,5,2,3.0
air_0164b9927d20bcc3_2017-03-01,air_0164b9927d20bcc3,1,3,1,1,3,0,0,6,5,4,24.0
air_0164b9927d20bcc3_2017-03-02,air_0164b9927d20bcc3,1,3,2,1,4,0,0,6,5,6,16.0
air_0164b9927d20bcc3_2017-03-03,air_0164b9927d20bcc3,1,3,3,1,5,0,0,6,5,3,6.0
air_0164b9927d20bcc3_2017-03-06,air_0164b9927d20bcc3,1,3,6,1,1,0,0,6,5,4,4.0
air_0164b9927d20bcc3_2017-03-07,air_0164b9927d20bcc3,1,3,7,1,2,0,0,6,5,3,5.0
air_0164b9927d20bcc3_2017-03-08,air_0164b9927d20bcc3,1,3,8,1,3,0,0,6,5,6,7.0
air_0164b9927d20bcc3_2017-03-10,air_0164b9927d20bcc3,1,3,10,1,5,0,0,6,5,6,6.0
air_0164b9927d20bcc3_2017-03-13,air_0164b9927d20bcc3,1,3,13,1,1,0,0,6,5,11,9.0
air_0164b9927d20bcc3_2017-03-14,air_0164b9927d20bcc3,1,3,14,1,2,0,0,6,5,6,14.0
air_0164b9927d20bcc3_2017-03-17,air_0164b9927d20bcc3,1,3,17,1,5,0,0,6,5,9,15.0
air_0164b9927d20bcc3_2017-03-22,air_0164b9927d20bcc3,1,3,22,1,3,0,0,6,5,11,18.0
air_0164b9927d20bcc3_2017-03-24,air_0164b9927d20bcc3,1,3,24,1,5,0,0,6,5,14,18.0
air_0164b9927d20bcc3_2017-03-27,air_0164b9927d20bcc3,1,3,27,1,1,0,0,6,5,8,11.0
air_0164b9927d20bcc3_2017-03-28,air_0164b9927d20bcc3,1,3,28,1,2,0,0,6,5,2,11.0
air_0164b9927d20bcc3_2017-03-29,air_0164b9927d20bcc3,1,3,29,1,3,0,0,6,5,4,6.0
air_0164b9927d20bcc3_2017-03-30,air_0164b9927d20bcc3,1,3,30,1,4,0,0,6,5,8,14.0
air_0164b9927d20bcc3_2017-03-31,air_0164b9927d20bcc3,1,3,31,1,5,0,0,6,5,4,4.0
air_0164b9927d20bcc3_2017-04-03,air_0164b9927d20bcc3,1,4,3,1,1,0,0,6,5,8,13.0
air_0164b9927d20bcc3_2017-04-05,air_0164b9927d20bcc3,1,4,5,1,3,0,0,6,5,10,20.0
air_0164b9927d20bcc3_2017-04-12,air_0164b9927d20bcc3,1,4,12,1,3,0,0,6,5,1,2.0
air_0164b9927d20bcc3_2017-04-13,air_0164b9927d20bcc3,1,4,13,1,4,0,0,6,5,9,13.0
air_0164b9927d20bcc3_2017-04-21,air_0164b9927d20bcc3,1,4,21,1,5,0,0,6,5,26,26.0
air_0164b9927d20bcc3_2017-04-25,air_0164b9927d20bcc3,1,4,25,1,2,0,0,6,5,3,
air_0164b9927d20bcc3_2017-04-26,air_0164b9927d20bcc3,1,4,26,1,3,0,0,6,5,2,
air_0164b9927d20bcc3_2017-04-27,air_0164b9927d20bcc3,1,4,27,1,4,0,0,6,5,4,
air_0164b9927d20bcc3_2017-05-01,air_0164b9927d20bcc3,1,5,1,1,1,0,0,6,5,3,
air_0164b9927d20bcc3_2017-05-02,air_0164b9927d20bcc3,1,5,2,1,2,0,0,6,5,2,
air_0164b9927d20bcc3_2017-05-05,air_0164b9927d20bcc3,1,5,5,1,5,0,1,6,5,2,
air_0164b9927d20bcc3_2017-05-09,air_0164b9927d20bcc3,1,5,9,1,2,0,0,6,5,3,
air_0164b9927d20bcc3_2017-05-13,air_0164b9927d20bcc3,1,5,13,1,6,1,0,6,5,10,
air_034a3d5b40d5b1b1_2016-10-29,air_034a3d5b40d5b1b1,0,10,29,3,6,1,0,2,0,3,19.0
air_034a3d5b40d5b1b1_2016-11-02,air_034a3d5b40d5b1b1,0,11,2,3,3,0,0,2,0,2,10.0
air_034a3d5b40d5b1b1_2016-11-05,air_034a3d5b40d5b1b1,0,11,5,3,6,1,0,2,0,4,16.0
air_034a3d5b40d5b1b1_2016-11-10,air_034a3d5b40d5b1b1,0,11,10,3,4,0,0,2,0,2,4.0
air_034a3d5b40d5b1b1_2016-11-12,air_034a3d5b40d5b1b1,0,11,12,3,6,1,0,2,0,2,15.0
air_034a3d5b40d5b1b1_2017-01-06,air_034a3d5b40d5b1b1,1,1,6,0,5,0,0,2,0,5,11.0
air_034a3d5b40d5b1b1_2017-02-03,air_034a3d5b40d5b1b1,1,2,3,0,5,0,0,2,0,3,18.0
air_034a3d5b40d5b1b1_2017-02-14,air_034a3d5b40d5b1b1,1,2,14,0,2,0,0,2,0,5,16.0
air_034a3d5b40d5b1b1_2017-02-19,air_034a3d5b40d5b1b1,1,2,19,0,0,1,0,2,0,50,64.0
air_034a3d5b40d5b1b1_2017-02-26,air_034a3d5b40d5b1b1,1,2,26,0,0,1,0,2,0,9,57.0
air_034a3d5b40d5b1b1_2017-03-12,air_034a3d5b40d5b1b1,1,3,12,1,0,1,0,2,0,3,41.0
air_034a3d5b40d5b1b1_2017-03-18,air_034a3d5b40d5b1b1,1,3,18,1,6,1,0,2,0,3,33.0
air_034a3d5b40d5b1b1_2017-04-08,air_034a3d5b40d5b1b1,1,4,8,1,6,1,0,2,0,2,40.0
air_03963426c9312048_2016-01-07,air_03963426c9312048,0,1,7,0,4,0,0,7,9,17,37.0
air_03963426c9312048_2016-01-08,air_03963426c9312048,0,1,8,0,5,0,0,7,9,62,89.0
air_03963426c9312048_2016-01-09,air_03963426c9312048,0,1,9,0,6,1,0,7,9,54,60.0
air_03963426c9312048_2016-01-10,air_03963426c9312048,0,1,10,0,0,1,0,7,9,15,30.0
air_03963426c9312048_2016-01-11,air_03963426c9312048,0,1,11,0,1,0,1,7,9,24,33.0
air_03963426c9312048_2016-01-12,air_03963426c9312048,0,1,12,0,2,0,0,7,9,16,17.0
air_03963426c9312048_2016-01-13,air_03963426c9312048,0,1,13,0,3,0,0,7,9,6,33.0
air_03963426c9312048_2016-01-14,air_03963426c9312048,0,1,14,0,4,0,0,7,9,17,32.0
air_03963426c9312048_2016-01-15,air_03963426c9312048,0,1,15,0,5,0,0,7,9,70,107.0
air_03963426c9312048_2016-01-16,air_03963426c9312048,0,1,16,0,6,1,0,7,9,14,31.0
air_03963426c9312048_2016-01-17,air_03963426c9312048,0,1,17,0,0,1,0,7,9,36,42.0
air_03963426c9312048_2016-01-18,air_03963426c9312048,0,1,18,0,1,0,0,7,9,31,37.0
air_03963426c9312048_2016-01-20,air_03963426c9312048,0,1,20,0,3,0,0,7,9,10,32.0
air_03963426c9312048_2016-01-21,air_03963426c9312048,0,1,21,0,4,0,0,7,9,39,60.0
air_03963426c9312048_2016-01-22,air_03963426c9312048,0,1,22,0,5,0,0,7,9,53,72.0
air_03963426c9312048_2016-01-23,air_03963426c9312048,0,1,23,0,6,1,0,7,9,61,72.0
air_03963426c9312048_2016-01-24,air_03963426c9312048,0,1,24,0,0,1,0,7,9,9,12.0
air_03963426c9312048_2016-01-25,air_03963426c9312048,0,1,25,0,1,0,0,7,9,34,56.0
air_03963426c9312048_2016-01-26,air_03963426c9312048,0,1,26,0,2,0,0,7,9,39,45.0
air_03963426c9312048_2016-01-27,air_03963426c9312048,0,1,27,0,3,0,0,7,9,14,56.0
air_03963426c9312048_2016-01-28,air_03963426c9312048,0,1,28,0,4,0,0,7,9,32,48.0
air_03963426c9312048_2016-01-29,air_03963426c9312048,0,1,29,0,5,0,0,7,9,53,119.0
air_03963426c9312048_2016-01-30,air_03963426c9312048,0,1,30,0,6,1,0,7,9,65,70.0
air_03963426c9312048_2016-01-31,air_03963426c9312048,0,1,31,0,0,1,0,7,9,14,18.0
air_03963426c9312048_2016-02-01,air_03963426c9312048,0,2,1,0,1,0,0,7,9,14,20.0
air_03963426c9312048_2016-02-02,air_03963426c9312048,0,2,2,0,2,0,0,7,9,24,25.0
air_03963426c9312048_2016-02-03,air_03963426c9312048,0,2,3,0,3,0,0,7,9,2,7.0
air_03963426c9312048_2016-02-04,air_03963426c9312048,0,2,4,0,4,0,0,7,9,2,7.0
air_03963426c9312048_2016-02-06,air_03963426c9312048,0,2,6,0,6,1,0,7,9,58,62.0
air_03963426c9312048_2016-02-07,air_03963426c9312048,0,2,7,0,0,1,0,7,9,5,17.0
air_03963426c9312048_2016-02-10,air_03963426c9312048,0,2,10,0,3,0,0,7,9,32,77.0
air_03963426c9312048_2016-02-11,air_03963426c9312048,0,2,11,0,4,0,1,7,9,15,18.0
air_03963426c9312048_2016-02-12,air_03963426c9312048,0,2,12,0,5,0,0,7,9,60,69.0
air_03963426c9312048_2016-02-13,air_03963426c9312048,0,2,13,0,6,1,0,7,9,43,68.0
air_03963426c9312048_2016-02-14,air_03963426c9312048,0,2,14,0,0,1,0,7,9,10,16.0
air_03963426c9312048_2016-02-16,air_03963426c9312048,0,2,16,0,2,0,0,7,9,8,33.0
air_03963426c9312048_2016-02-17,air_03963426c9312048,0,2,17,0,3,0,0,7,9,8,46.0
air_03963426c9312048_2016-02-18,air_03963426c9312048,0,2,18,0,4,0,0,7,9,28,58.0
air_03963426c9312048_2016-02-19,air_03963426c9312048,0,2,19,0,5,0,0,7,9,53,71.0
air_03963426c9312048_2016-02-20,air_03963426c9312048,0,2,20,0,6,1,0,7,9,7,61.0
air_03963426c9312048_2016-02-21,air_03963426c9312048,0,2,21,0,0,1,0,7,9,2,10.0
air_03963426c9312048_2016-02-22,air_03963426c9312048,0,2,22,0,1,0,0,7,9,2,3.0
air_03963426c9312048_2016-02-24,air_03963426c9312048,0,2,24,0,3,0,0,7,9,30,55.0
air_03963426c9312048_2016-02-26,air_03963426c9312048,0,2,26,0,5,0,0,7,9,29,67.0
air_03963426c9312048_2016-02-27,air_03963426c9312048,0,2,27,0,6,1,0,7,9,70,80.0
air_03963426c9312048_2016-02-28,air_03963426c9312048,0,2,28,0,0,1,0,7,9,3,6.0
air_03963426c9312048_2016-03-01,air_03963426c9312048,0,3,1,1,2,0,0,7,9,9,10.0
air_03963426c9312048_2016-03-02,air_03963426c9312048,0,3,2,1,3,0,0,7,9,19,59.0
air_03963426c9312048_2016-03-03,air_03963426c9312048,0,3,3,1,4,0,0,7,9,4,38.0
air_03963426c9312048_2016-03-04,air_03963426c9312048,0,3,4,1,5,0,0,7,9,36,66.0
air_03963426c9312048_2016-03-05,air_03963426c9312048,0,3,5,1,6,1,0,7,9,35,56.0
air_03963426c9312048_2016-03-06,air_03963426c9312048,0,3,6,1,0,1,0,7,9,16,24.0
air_03963426c9312048_2016-03-07,air_03963426c9312048,0,3,7,1,1,0,0,7,9,19,27.0
air_03963426c9312048_2016-03-08,air_03963426c9312048,0,3,8,1,2,0,0,7,9,34,61.0
air_03963426c9312048_2016-03-09,air_03963426c9312048,0,3,9,1,3,0,0,7,9,42,75.0
air_03963426c9312048_2016-03-10,air_03963426c9312048,0,3,10,1,4,0,0,7,9,13,41.0
air_03963426c9312048_2016-03-11,air_03963426c9312048,0,3,11,1,5,0,0,7,9,59,85.0
air_03963426c9312048_2016-03-13,air_03963426c9312048,0,3,13,1,0,1,0,7,9,20,20.0
air_03963426c9312048_2016-03-14,air_03963426c9312048,0,3,14,1,1,0,0,7,9,25,58.0
air_03963426c9312048_2016-03-15,air_03963426c9312048,0,3,15,1,2,0,0,7,9,7,16.0
air_03963426c9312048_2016-03-16,air_03963426c9312048,0,3,16,1,3,0,0,7,9,13,16.0
air_03963426c9312048_2016-03-17,air_03963426c9312048,0,3,17,1,4,0,0,7,9,44,67.0
air_03963426c9312048_2016-03-18,air_03963426c9312048,0,3,18,1,5,0,0,7,9,91,115.0
air_03963426c9312048_2016-03-19,air_03963426c9312048,0,3,19,1,6,1,0,7,9,64,60.0
air_03963426c9312048_2016-03-20,air_03963426c9312048,0,3,20,1,0,1,1,7,9,19,51.0
air_03963426c9312048_2016-03-22,air_03963426c9312048,0,3,22,1,2,0,0,7,9,34,40.0
air_03963426c9312048_2016-03-23,air_03963426c9312048,0,3,23,1,3,0,0,7,9,57,88.0
air_03963426c9312048_2016-03-24,air_03963426c9312048,0,3,24,1,4,0,0,7,9,62,95.0
air_03963426c9312048_2016-03-25,air_03963426c9312048,0,3,25,1,5,0,0,7,9,72,92.0
air_03963426c9312048_2016-03-26,air_03963426c9312048,0,3,26,1,6,1,0,7,9,45,71.0
air_03963426c9312048_2016-03-27,air_03963426c9312048,0,3,27,1,0,1,0,7,9,2,13.0
air_03963426c9312048_2016-03-28,air_03963426c9312048,0,3,28,1,1,0,0,7,9,21,34.0
air_03963426c9312048_2016-03-29,air_03963426c9312048,0,3,29,1,2,0,0,7,9,36,40.0
air_03963426c9312048_2016-03-30,air_03963426c9312048,0,3,30,1,3,0,0,7,9,38,76.0
air_03963426c9312048_2016-04-01,air_03963426c9312048,0,4,1,1,5,0,0,7,9,16,82.0
air_03963426c9312048_2016-04-02,air_03963426c9312048,0,4,2,1,6,1,0,7,9,23,27.0
air_03963426c9312048_2016-04-03,air_03963426c9312048,0,4,3,1,0,1,0,7,9,10,13.0
air_03963426c9312048_2016-04-04,air_03963426c9312048,0,4,4,1,1,0,0,7,9,25,49.0
air_03963426c9312048_2016-04-05,air_03963426c9312048,0,4,5,1,2,0,0,7,9,22,28.0
air_03963426c9312048_2016-04-06,air_03963426c9312048,0,4,6,1,3,0,0,7,9,43,48.0
air_03963426c9312048_2016-04-07,air_03963426c9312048,0,4,7,1,4,0,0,7,9,26,63.0
air_03963426c9312048_2016-04-08,air_03963426c9312048,0,4,8,1,5,0,0,7,9,62,92.0
air_03963426c9312048_2016-04-09,air_03963426c9312048,0,4,9,1,6,1,0,7,9,27,36.0
air_03963426c9312048_2016-04-10,air_03963426c9312048,0,4,10,1,0,1,0,7,9,15,20.0
air_03963426c9312048_2016-04-11,air_03963426c9312048,0,4,11,1,1,0,0,7,9,35,70.0
air_03963426c9312048_2016-04-13,air_03963426c9312048,0,4,13,1,3,0,0,7,9,23,33.0
air_03963426c9312048_2016-04-14,air_03963426c9312048,0,4,14,1,4,0,0,7,9,43,71.0
air_03963426c9312048_2016-04-15,air_03963426c9312048,0,4,15,1,5,0,0,7,9,27,83.0
air_03963426c9312048_2016-04-16,air_03963426c9312048,0,4,16,1,6,1,0,7,9,27,38.0
air_03963426c9312048_2016-04-17,air_03963426c9312048,0,4,17,1,0,1,0,7,9,4,8.0
air_03963426c9312048_2016-04-18,air_03963426c9312048,0,4,18,1,1,0,0,7,9,10,42.0
air_03963426c9312048_2016-04-19,air_03963426c9312048,0,4,19,1,2,0,0,7,9,11,16.0
air_03963426c9312048_2016-04-21,air_03963426c9312048,0,4,21,1,4,0,0,7,9,27,38.0
air_03963426c9312048_2016-04-22,air_03963426c9312048,0,4,22,1,5,0,0,7,9,73,99.0
air_03963426c9312048_2016-04-23,air_03963426c9312048,0,4,23,1,6,1,0,7,9,42,77.0
air_03963426c9312048_2016-04-24,air_03963426c9312048,0,4,24,1,0,1,0,7,9,16,24.0
air_03963426c9312048_2016-04-26,air_03963426c9312048,0,4,26,1,2,0,0,7,9,35,43.0
air_03963426c9312048_2016-04-27,air_03963426c9312048,0,4,27,1,3,0,0,7,9,27,58.0
air_03963426c9312048_2016-04-28,air_03963426c9312048,0,4,28,1,4,0,0,7,9,65,93.0
air_03963426c9312048_2016-04-29,air_03963426c9312048,0,4,29,1,5,0,1,7,9,32,40.0
air_03963426c9312048_2016-04-30,air_03963426c9312048,0,4,30,1,6,1,0,7,9,32,48.0
air_03963426c9312048_2016-05-01,air_03963426c9312048,0,5,1,1,0,1,0,7,9,25,31.0
air_03963426c9312048_2016-05-02,air_03963426c9312048,0,5,2,1,1,0,0,7,9,4,42.0
air_03963426c9312048_2016-05-03,air_03963426c9312048,0,5,3,1,2,0,1,7,9,23,36.0
air_03963426c9312048_2016-05-04,air_03963426c9312048,0,5,4,1,3,0,1,7,9,17,27.0
air_03963426c9312048_2016-05-05,air_03963426c9312048,0,5,5,1,4,0,1,7,9,4,6.0
air_03963426c9312048_2016-05-06,air_03963426c9312048,0,5,6,1,5,0,0,7,9,32,50.0
air_03963426c9312048_2016-05-07,air_03963426c9312048,0,5,7,1,6,1,0,7,9,19,23.0
air_03963426c9312048_2016-05-08,air_03963426c9312048,0,5,8,1,0,1,0,7,9,7,9.0
air_03963426c9312048_2016-05-10,air_03963426c9312048,0,5,10,1,2,0,0,7,9,7,8.0
air_03963426c9312048_2016-05-11,air_03963426c9312048,0,5,11,1,3,0,0,7,9,41,82.0
air_03963426c9312048_2016-05-12,air_03963426c9312048,0,5,12,1,4,0,0,7,9,32,51.0
air_03963426c9312048_2016-05-13,air_03963426c9312048,0,5,13,1,5,0,0,7,9,48,66.0
air_03963426c9312048_2016-05-14,air_03963426c9312048,0,5,14,1,6,1,0,7,9,48,53.0
air_03963426c9312048_2016-05-15,air_03963426c9312048,0,5,15,1,0,1,0,7,9,24,35.0
air_03963426c9312048_2016-05-17,air_03963426c9312048,0,5,17,1,2,0,0,7,9,16,30.0
air_03963426c9312048_2016-05-19,air_03963426c9312048,0,5,19,1,4,0,0,7,9,10,31.0
air_03963426c9312048_2016-05-21,air_03963426c9312048,0,5,21,1,6,1,0,7,9,46,67.0
air_03963426c9312048_2016-05-22,air_03963426c9312048,0,5,22,1,0,1,0,7,9,12,15.0
air_03963426c9312048_2016-05-23,air_03963426c9312048,0,5,23,1,1,0,0,7,9,7,31.0
air_03963426c9312048_2016-10-27,air_03963426c9312048,0,10,27,3,4,0,0,7,9,42,44.0
air_03963426c9312048_2016-10-28,air_03963426c9312048,0,10,28,3,5,0,0,7,9,54,38.0
air_03963426c9312048_2016-10-29,air_03963426c9312048,0,10,29,3,6,1,0,7,9,4,60.0
air_03963426c9312048_2016-10-31,air_03963426c9312048,0,10,31,3,1,0,0,7,9,12,17.0
air_03963426c9312048_2016-11-01,air_03963426c9312048,0,11,1,3,2,0,0,7,9,12,14.0
air_03963426c9312048_2016-11-02,air_03963426c9312048,0,11,2,3,3,0,0,7,9,21,29.0
air_03963426c9312048_2016-11-03,air_03963426c9312048,0,11,3,3,4,0,1,7,9,2,8.0
air_03963426c9312048_2016-11-04,air_03963426c9312048,0,11,4,3,5,0,0,7,9,52,56.0
air_03963426c9312048_2016-11-05,air_03963426c9312048,0,11,5,3,6,1,0,7,9,54,58.0
air_03963426c9312048_2016-11-07,air_03963426c9312048,0,11,7,3,1,0,0,7,9,8,12.0
air_03963426c9312048_2016-11-08,air_03963426c9312048,0,11,8,3,2,0,0,7,9,9,9.0
air_03963426c9312048_2016-11-09,air_03963426c9312048,0,11,9,3,3,0,0,7,9,28,30.0
air_03963426c9312048_2016-11-10,air_03963426c9312048,0,11,10,3,4,0,0,7,9,10,15.0
air_03963426c9312048_2016-11-11,air_03963426c9312048,0,11,11,3,5,0,0,7,9,8,71.0
air_03963426c9312048_2016-11-12,air_03963426c9312048,0,11,12,3,6,1,0,7,9,53,59.0
air_03963426c9312048_2016-11-14,air_03963426c9312048,0,11,14,3,1,0,0,7,9,5,7.0
air_03963426c9312048_2016-11-15,air_03963426c9312048,0,11,15,3,2,0,0,7,9,3,7.0
air_03963426c9312048_2016-11-16,air_03963426c9312048,0,11,16,3,3,0,0,7,9,5,7.0
air_03963426c9312048_2016-11-17,air_03963426c9312048,0,11,17,3,4,0,0,7,9,14,16.0
air_03963426c9312048_2016-11-18,air_03963426c9312048,0,11,18,3,5,0,0,7,9,53,63.0
air_03963426c9312048_2016-11-19,air_03963426c9312048,0,11,19,3,6,1,0,7,9,54,70.0
air_03963426c9312048_2016-11-21,air_03963426c9312048,0,11,21,3,1,0,0,7,9,5,26.0
air_03963426c9312048_2016-11-22,air_03963426c9312048,0,11,22,3,2,0,0,7,9,49,59.0
