id,visitors,calendar_date,air_store_id,dow,year,month,min_visitors,mean_visitors,median_visitors,max_visitors,count_observations,air_genre_name,air_area_name,latitude,longitude
air_0164b9927d20bcc3_2017-04-28,20,4/28/2017,air_0164b9927d20bcc3,4,2017,4,3,11.46428571,10.5,26,28,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-04-29,20,4/29/2017,air_0164b9927d20bcc3,5,2017,4,1,6.409090909,4.5,25,22,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-04-30,20,4/30/2017,air_0164b9927d20bcc3,6,2017,4,,,,,,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-01,20,5/1/2017,air_0164b9927d20bcc3,0,2017,5,2,7.5,6,19,20,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-02,20,5/2/2017,air_0164b9927d20bcc3,1,2017,5,1,9.56,8,24,25,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-03,20,5/3/2017,air_0164b9927d20bcc3,2,2017,5,2,9.678571429,8,27,28,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-04,20,5/4/2017,air_0164b9927d20bcc3,3,2017,5,1,9.846153846,10.5,23,26,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-05,20,5/5/2017,air_0164b9927d20bcc3,4,2017,5,3,11.46428571,10.5,26,28,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-06,20,5/6/2017,air_0164b9927d20bcc3,5,2017,5,1,6.409090909,4.5,25,22,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-07,20,5/7/2017,air_0164b9927d20bcc3,6,2017,5,,,,,,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-08,20,5/8/2017,air_0164b9927d20bcc3,0,2017,5,2,7.5,6,19,20,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-09,20,5/9/2017,air_0164b9927d20bcc3,1,2017,5,1,9.56,8,24,25,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-10,20,5/10/2017,air_0164b9927d20bcc3,2,2017,5,2,9.678571429,8,27,28,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-11,20,5/11/2017,air_0164b9927d20bcc3,3,2017,5,1,9.846153846,10.5,23,26,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-12,20,5/12/2017,air_0164b9927d20bcc3,4,2017,5,3,11.46428571,10.5,26,28,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-13,20,5/13/2017,air_0164b9927d20bcc3,5,2017,5,1,6.409090909,4.5,25,22,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-14,20,5/14/2017,air_0164b9927d20bcc3,6,2017,5,,,,,,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-15,20,5/15/2017,air_0164b9927d20bcc3,0,2017,5,2,7.5,6,19,20,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-16,20,5/16/2017,air_0164b9927d20bcc3,1,2017,5,1,9.56,8,24,25,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-17,20,5/17/2017,air_0164b9927d20bcc3,2,2017,5,2,9.678571429,8,27,28,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-18,20,5/18/2017,air_0164b9927d20bcc3,3,2017,5,1,9.846153846,10.5,23,26,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-19,20,5/19/2017,air_0164b9927d20bcc3,4,2017,5,3,11.46428571,10.5,26,28,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-20,20,5/20/2017,air_0164b9927d20bcc3,5,2017,5,1,6.409090909,4.5,25,22,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-21,20,5/21/2017,air_0164b9927d20bcc3,6,2017,5,,,,,,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-22,20,5/22/2017,air_0164b9927d20bcc3,0,2017,5,2,7.5,6,19,20,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-23,20,5/23/2017,air_0164b9927d20bcc3,1,2017,5,1,9.56,8,24,25,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-24,20,5/24/2017,air_0164b9927d20bcc3,2,2017,5,2,9.678571429,8,27,28,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-25,20,5/25/2017,air_0164b9927d20bcc3,3,2017,5,1,9.846153846,10.5,23,26,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-26,20,5/26/2017,air_0164b9927d20bcc3,4,2017,5,3,11.46428571,10.5,26,28,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-27,20,5/27/2017,air_0164b9927d20bcc3,5,2017,5,1,6.409090909,4.5,25,22,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-28,20,5/28/2017,air_0164b9927d20bcc3,6,2017,5,,,,,,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-29,20,5/29/2017,air_0164b9927d20bcc3,0,2017,5,2,7.5,6,19,20,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-30,20,5/30/2017,air_0164b9927d20bcc3,1,2017,5,1,9.56,8,24,25,6,62,35.6580681,139.7515992
air_0164b9927d20bcc3_2017-05-31,20,5/31/2017,air_0164b9927d20bcc3,2,2017,5,2,9.678571429,8,27,28,6,62,35.6580681,139.7515992
air_0241aa3964b7f861_2017-04-23,20,4/23/2017,air_0241aa3964b7f861,6,2017,4,1,10.78125,10,26,64,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-04-24,20,4/24/2017,air_0241aa3964b7f861,0,2017,4,2,8.920634921,8,23,63,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-04-25,20,4/25/2017,air_0241aa3964b7f861,1,2017,4,1,8.621212121,8,34,66,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-04-26,20,4/26/2017,air_0241aa3964b7f861,2,2017,4,2,9.852941176,9,24,68,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-04-27,20,4/27/2017,air_0241aa3964b7f861,3,2017,4,1,5.555555556,3,18,9,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-04-28,20,4/28/2017,air_0241aa3964b7f861,4,2017,4,1,7.786885246,6,48,61,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-04-29,20,4/29/2017,air_0241aa3964b7f861,5,2017,4,2,13.89230769,13,37,65,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-04-30,20,4/30/2017,air_0241aa3964b7f861,6,2017,4,1,10.78125,10,26,64,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-01,20,5/1/2017,air_0241aa3964b7f861,0,2017,5,2,8.920634921,8,23,63,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-02,20,5/2/2017,air_0241aa3964b7f861,1,2017,5,1,8.621212121,8,34,66,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-03,20,5/3/2017,air_0241aa3964b7f861,2,2017,5,2,9.852941176,9,24,68,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-04,20,5/4/2017,air_0241aa3964b7f861,3,2017,5,1,5.555555556,3,18,9,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-05,20,5/5/2017,air_0241aa3964b7f861,4,2017,5,1,7.786885246,6,48,61,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-06,20,5/6/2017,air_0241aa3964b7f861,5,2017,5,2,13.89230769,13,37,65,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-07,20,5/7/2017,air_0241aa3964b7f861,6,2017,5,1,10.78125,10,26,64,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-08,20,5/8/2017,air_0241aa3964b7f861,0,2017,5,2,8.920634921,8,23,63,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-09,20,5/9/2017,air_0241aa3964b7f861,1,2017,5,1,8.621212121,8,34,66,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-10,20,5/10/2017,air_0241aa3964b7f861,2,2017,5,2,9.852941176,9,24,68,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-11,20,5/11/2017,air_0241aa3964b7f861,3,2017,5,1,5.555555556,3,18,9,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-12,20,5/12/2017,air_0241aa3964b7f861,4,2017,5,1,7.786885246,6,48,61,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-13,20,5/13/2017,air_0241aa3964b7f861,5,2017,5,2,13.89230769,13,37,65,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-14,20,5/14/2017,air_0241aa3964b7f861,6,2017,5,1,10.78125,10,26,64,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-15,20,5/15/2017,air_0241aa3964b7f861,0,2017,5,2,8.920634921,8,23,63,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-16,20,5/16/2017,air_0241aa3964b7f861,1,2017,5,1,8.621212121,8,34,66,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-17,20,5/17/2017,air_0241aa3964b7f861,2,2017,5,2,9.852941176,9,24,68,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-18,20,5/18/2017,air_0241aa3964b7f861,3,2017,5,1,5.555555556,3,18,9,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-19,20,5/19/2017,air_0241aa3964b7f861,4,2017,5,1,7.786885246,6,48,61,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-20,20,5/20/2017,air_0241aa3964b7f861,5,2017,5,2,13.89230769,13,37,65,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-21,20,5/21/2017,air_0241aa3964b7f861,6,2017,5,1,10.78125,10,26,64,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-22,20,5/22/2017,air_0241aa3964b7f861,0,2017,5,2,8.920634921,8,23,63,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-23,20,5/23/2017,air_0241aa3964b7f861,1,2017,5,1,8.621212121,8,34,66,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-24,20,5/24/2017,air_0241aa3964b7f861,2,2017,5,2,9.852941176,9,24,68,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-25,20,5/25/2017,air_0241aa3964b7f861,3,2017,5,1,5.555555556,3,18,9,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-26,20,5/26/2017,air_0241aa3964b7f861,4,2017,5,1,7.786885246,6,48,61,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-27,20,5/27/2017,air_0241aa3964b7f861,5,2017,5,2,13.89230769,13,37,65,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-28,20,5/28/2017,air_0241aa3964b7f861,6,2017,5,1,10.78125,10,26,64,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-29,20,5/29/2017,air_0241aa3964b7f861,0,2017,5,2,8.920634921,8,23,63,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-30,20,5/30/2017,air_0241aa3964b7f861,1,2017,5,1,8.621212121,8,34,66,7,82,35.712607,139.7799956
air_0241aa3964b7f861_2017-05-31,20,5/31/2017,air_0241aa3964b7f861,2,2017,5,2,9.852941176,9,24,68,7,82,35.712607,139.7799956
air_0328696196e46f18_2017-04-23,20,4/23/2017,air_0328696196e46f18,6,2017,4,1,10.52941176,7,41,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-04-24,20,4/24/2017,air_0328696196e46f18,0,2017,4,2,6.416666667,4,27,12,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-04-25,20,4/25/2017,air_0328696196e46f18,1,2017,4,2,7.285714286,6,17,14,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-04-26,20,4/26/2017,air_0328696196e46f18,2,2017,4,1,7.058823529,5,24,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-04-27,20,4/27/2017,air_0328696196e46f18,3,2017,4,1,9.294117647,7,26,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-04-28,20,4/28/2017,air_0328696196e46f18,4,2017,4,1,6.727272727,5.5,19,22,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-04-29,20,4/29/2017,air_0328696196e46f18,5,2017,4,2,8.058823529,7,22,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-04-30,20,4/30/2017,air_0328696196e46f18,6,2017,4,1,10.52941176,7,41,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-01,20,5/1/2017,air_0328696196e46f18,0,2017,5,2,6.416666667,4,27,12,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-02,20,5/2/2017,air_0328696196e46f18,1,2017,5,2,7.285714286,6,17,14,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-03,20,5/3/2017,air_0328696196e46f18,2,2017,5,1,7.058823529,5,24,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-04,20,5/4/2017,air_0328696196e46f18,3,2017,5,1,9.294117647,7,26,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-05,20,5/5/2017,air_0328696196e46f18,4,2017,5,1,6.727272727,5.5,19,22,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-06,20,5/6/2017,air_0328696196e46f18,5,2017,5,2,8.058823529,7,22,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-07,20,5/7/2017,air_0328696196e46f18,6,2017,5,1,10.52941176,7,41,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-08,20,5/8/2017,air_0328696196e46f18,0,2017,5,2,6.416666667,4,27,12,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-09,20,5/9/2017,air_0328696196e46f18,1,2017,5,2,7.285714286,6,17,14,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-10,20,5/10/2017,air_0328696196e46f18,2,2017,5,1,7.058823529,5,24,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-11,20,5/11/2017,air_0328696196e46f18,3,2017,5,1,9.294117647,7,26,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-12,20,5/12/2017,air_0328696196e46f18,4,2017,5,1,6.727272727,5.5,19,22,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-13,20,5/13/2017,air_0328696196e46f18,5,2017,5,2,8.058823529,7,22,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-14,20,5/14/2017,air_0328696196e46f18,6,2017,5,1,10.52941176,7,41,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-15,20,5/15/2017,air_0328696196e46f18,0,2017,5,2,6.416666667,4,27,12,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-16,20,5/16/2017,air_0328696196e46f18,1,2017,5,2,7.285714286,6,17,14,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-17,20,5/17/2017,air_0328696196e46f18,2,2017,5,1,7.058823529,5,24,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-18,20,5/18/2017,air_0328696196e46f18,3,2017,5,1,9.294117647,7,26,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-19,20,5/19/2017,air_0328696196e46f18,4,2017,5,1,6.727272727,5.5,19,22,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-20,20,5/20/2017,air_0328696196e46f18,5,2017,5,2,8.058823529,7,22,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-21,20,5/21/2017,air_0328696196e46f18,6,2017,5,1,10.52941176,7,41,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-22,20,5/22/2017,air_0328696196e46f18,0,2017,5,2,6.416666667,4,27,12,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-23,20,5/23/2017,air_0328696196e46f18,1,2017,5,2,7.285714286,6,17,14,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-24,20,5/24/2017,air_0328696196e46f18,2,2017,5,1,7.058823529,5,24,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-25,20,5/25/2017,air_0328696196e46f18,3,2017,5,1,9.294117647,7,26,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-26,20,5/26/2017,air_0328696196e46f18,4,2017,5,1,6.727272727,5.5,19,22,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-27,20,5/27/2017,air_0328696196e46f18,5,2017,5,2,8.058823529,7,22,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-28,20,5/28/2017,air_0328696196e46f18,6,2017,5,1,10.52941176,7,41,17,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-29,20,5/29/2017,air_0328696196e46f18,0,2017,5,2,6.416666667,4,27,12,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-30,20,5/30/2017,air_0328696196e46f18,1,2017,5,2,7.285714286,6,17,14,4,98,34.7012792,135.5280905
air_0328696196e46f18_2017-05-31,20,5/31/2017,air_0328696196e46f18,2,2017,5,1,7.058823529,5,24,17,4,98,34.7012792,135.5280905
air_034a3d5b40d5b1b1_2017-04-23,20,4/23/2017,air_034a3d5b40d5b1b1,6,2017,4,1,17.15789474,11.5,64,38,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-04-24,20,4/24/2017,air_034a3d5b40d5b1b1,0,2017,4,1,11.86486486,10,66,37,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-04-25,20,4/25/2017,air_034a3d5b40d5b1b1,1,2017,4,1,10.88888889,12,28,18,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-04-26,20,4/26/2017,air_034a3d5b40d5b1b1,2,2017,4,1,15.10526316,10,116,38,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-04-27,20,4/27/2017,air_034a3d5b40d5b1b1,3,2017,4,1,10.97435897,8,30,39,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-04-28,20,4/28/2017,air_034a3d5b40d5b1b1,4,2017,4,2,16.19512195,18,39,41,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-04-29,20,4/29/2017,air_034a3d5b40d5b1b1,5,2017,4,1,19.225,16.5,58,40,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-04-30,20,4/30/2017,air_034a3d5b40d5b1b1,6,2017,4,1,17.15789474,11.5,64,38,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-01,20,5/1/2017,air_034a3d5b40d5b1b1,0,2017,5,1,11.86486486,10,66,37,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-02,20,5/2/2017,air_034a3d5b40d5b1b1,1,2017,5,1,10.88888889,12,28,18,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-03,20,5/3/2017,air_034a3d5b40d5b1b1,2,2017,5,1,15.10526316,10,116,38,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-04,20,5/4/2017,air_034a3d5b40d5b1b1,3,2017,5,1,10.97435897,8,30,39,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-05,20,5/5/2017,air_034a3d5b40d5b1b1,4,2017,5,2,16.19512195,18,39,41,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-06,20,5/6/2017,air_034a3d5b40d5b1b1,5,2017,5,1,19.225,16.5,58,40,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-07,20,5/7/2017,air_034a3d5b40d5b1b1,6,2017,5,1,17.15789474,11.5,64,38,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-08,20,5/8/2017,air_034a3d5b40d5b1b1,0,2017,5,1,11.86486486,10,66,37,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-09,20,5/9/2017,air_034a3d5b40d5b1b1,1,2017,5,1,10.88888889,12,28,18,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-10,20,5/10/2017,air_034a3d5b40d5b1b1,2,2017,5,1,15.10526316,10,116,38,2,102,34.6923371,135.4722289
air_034a3d5b40d5b1b1_2017-05-11,20,5/11/2017,air_034a3d5b40d5b1b1,3,2017,5,1,10.97435897,8,30,39,2,102,34.6923371,135.4722289
